IdCursosSociosPresentes,IdCurso,idSocio,FechaPresente
500,5,3873,2013-09-21 00:00:00
501,3,2577,2013-09-25 00:00:00
502,3,3323,2013-09-25 00:00:00
503,3,3580,2013-09-25 00:00:00
504,3,3518,2013-09-25 00:00:00
505,3,3580,2013-09-25 00:00:00
506,3,3580,2013-09-25 00:00:00
507,3,3576,2013-09-25 00:00:00
508,3,3587,2013-09-25 00:00:00
509,3,2863,2013-09-25 00:00:00
510,3,3776,2013-09-25 00:00:00
511,3,3680,2013-09-25 00:00:00
512,3,3955,2013-09-25 00:00:00
513,3,3833,2013-09-25 00:00:00
514,3,3472,2013-09-25 00:00:00
515,6,3933,2013-09-26 00:00:00
516,6,3522,2013-09-26 00:00:00
517,6,3425,2013-09-26 00:00:00
518,6,3274,2013-09-26 00:00:00
519,6,3520,2013-09-26 00:00:00
520,6,3298,2013-09-26 00:00:00
521,6,2544,2013-09-26 00:00:00
522,6,3750,2013-09-26 00:00:00
523,6,3757,2013-09-26 00:00:00
524,6,2951,2013-09-26 00:00:00
525,6,3933,2013-09-19 00:00:00
526,6,3062,2013-09-19 00:00:00
527,6,3425,2013-09-19 00:00:00
528,6,3274,2013-09-19 00:00:00
529,6,3498,2013-09-19 00:00:00
530,6,3386,2013-09-19 00:00:00
531,6,3298,2013-09-19 00:00:00
532,6,3040,2013-09-19 00:00:00
533,6,2544,2013-09-19 00:00:00
534,6,2859,2013-09-19 00:00:00
535,6,3750,2013-09-19 00:00:00
536,6,3757,2013-09-19 00:00:00
537,6,2951,2013-09-19 00:00:00
538,6,3757,2013-09-12 00:00:00
539,6,2951,2013-09-12 00:00:00
540,6,3498,2013-09-26 00:00:00
541,6,2859,2013-09-26 00:00:00
542,5,2846,2013-09-28 00:00:00
543,5,3299,2013-09-28 00:00:00
544,5,3514,2013-09-28 00:00:00
545,5,2950,2013-09-28 00:00:00
546,5,3053,2013-09-28 00:00:00
547,5,3286,2013-09-28 00:00:00
548,5,2619,2013-09-28 00:00:00
549,5,3656,2013-09-28 00:00:00
550,5,3873,2013-09-28 00:00:00
551,4,3942,2013-10-01 00:00:00
552,4,3286,2013-10-01 00:00:00
553,4,2597,2013-10-01 00:00:00
554,4,3501,2013-10-01 00:00:00
555,4,3750,2013-10-01 00:00:00
556,4,3667,2013-10-01 00:00:00
557,4,3529,2013-10-01 00:00:00
558,4,3390,2013-10-01 00:00:00
559,4,3921,2013-10-01 00:00:00
560,4,3747,2013-10-01 00:00:00
561,4,3936,2013-10-01 00:00:00
562,4,3935,2013-10-01 00:00:00
563,2,3501,2013-09-30 00:00:00
564,2,2633,2013-09-30 00:00:00
565,2,3920,2013-09-30 00:00:00
